| 2020:06:24 21:06:42,431 | I | root | ------
| 2020:06:24 21:06:42,461 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 21:06:43,128 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 21:06:43,201 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 21:06:43,234 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:06:43,259 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:06:43,264 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 21:06:43,264 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 21:06:43,264 | E | STDERR |     from common import *
| 2020:06:24 21:06:43,264 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 21:06:43,264 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 21:06:43,265 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 290
| 2020:06:24 21:06:43,265 | E | STDERR |     profile = yield self.profile.find(
| 2020:06:24 21:06:43,265 | E | STDERR |                                      ^
| 2020:06:24 21:06:43,265 | E | STDERR | TabError: inconsistent use of tabs and spaces in indentation
| 2020:06:24 21:07:09,200 | I | root | ------
| 2020:06:24 21:07:09,229 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 21:07:09,637 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 21:07:09,707 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 21:07:09,735 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:07:09,761 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:07:09,766 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 21:07:09,766 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 21:07:09,766 | E | STDERR |     from common import *
| 2020:06:24 21:07:09,766 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 21:07:09,766 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 21:07:09,766 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 290
| 2020:06:24 21:07:09,767 | E | STDERR |     profile = yield self.profile.find(
| 2020:06:24 21:07:09,767 | E | STDERR |                                      ^
| 2020:06:24 21:07:09,767 | E | STDERR | TabError: inconsistent use of tabs and spaces in indentation
| 2020:06:24 21:08:47,691 | I | root | ------
| 2020:06:24 21:08:47,721 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 21:08:48,135 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 21:08:48,204 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 21:08:48,234 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:08:48,265 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:08:48,605 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 21:08:56,364 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 21:08:56,366 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5e170f64f4b2b2d70ee12cca
| 2020:06:24 21:08:56,367 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 21:08:56,368 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 21:08:56,369 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 21:08:56,387 | D | root | med/medservicelist.py +247 get RSP	{'code': 4003, 'status': False, 'message': 'You are not authorized.'}
| 2020:06:24 21:08:56,388 | W | tornado.access | 401 GET /v2/web/api/med/servicelist (::1) 121.06ms
| 2020:06:24 21:15:08,242 | I | root | ------
| 2020:06:24 21:15:08,267 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 21:15:08,683 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 21:15:08,756 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 21:15:08,792 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:15:08,828 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:15:08,853 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
